pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,4/2/2024,77.3,-1.68,6,"Tovar, Ezequiel",678662,665871,,ball,,,,,14,Ezequiel Tovar singles on a line drive to left fielder Ian Happ.,R,R,R,CHC,COL,B,,,0,1,2024,1.18,0.07,0.72,0.92,,,,0,5,Top,,,,,,,2.973721211,-112.4757761,-3.935280556,9.314406854,23.38301657,-30.98017354,3.19,1.57,,,,77.4,2357,6.7,746898,665804,643265,663538,663611,621020,664023,641355,673548,53.83,,,,,,,,43,2,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,55,0,0.023,,,,-0.023,,7,-7,0.981,0.019,26,22,27,23,2,1,,1,6,1,3.79,-1.18,-1.18,53.9
CH,4/2/2024,87.5,2.89,5.48,"Cooper, Garrett",643265,607536,,ball,,,,,14,Garrett Cooper strikes out swinging.,R,R,L,CHC,COL,B,,,0,1,2024,1.24,0.54,0.88,1.85,,621020,664023,0,3,Bot,,,,,,,-7.44698346,-127.1995845,-3.784238263,15.00021158,25.01510298,-25.68944142,3.43,1.73,,,,88,1544,6.6,746898,553869,669911,663898,641857,678662,666134,686668,592178,53.91,,,,,,,,27,2,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,127,0,0.07,,,,-0.07,,4,4,0.929,0.929,31,33,31,34,2,1,5,3,6,6,2.43,1.24,-1.24,21.6
FF,4/2/2024,94.5,-1.69,5.91,"Shewmake, Braden",669699,625643,field_out,hit_into_play,,,,,5,Braden Shewmake flies out to left fielder Adam Duvall.,R,L,R,CWS,ATL,X,7,fly_ball,2,0,2024,-0.51,1.33,0,2.47,,,,0,5,Bot,76.38,107.26,,,,,5.580512074,-137.4205044,-6.285245079,-7.744612643,31.08332148,-14.06612173,3.49,1.6,261,88.8,48,95,2004,6.7,746814,644433,621566,645277,663586,606115,594807,671739,660670,53.82,0.001,0,0,1,0,0,3,33,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207,-0.029,-0.324,,,0.001,0.324,88.8,0,0,0.565,0.565,30,26,30,27,2,1,,2,7,2,1.23,0.51,-0.51,44.5
SI,4/2/2024,91.8,-1.09,5.02,"Freeman, Freddie",518692,657277,,ball,,,,,14,Freddie Freeman doubles (2) on a line drive to left fielder Michael Conforto.,R,L,R,LAD,SF,B,,,0,1,2024,-1.47,-0.55,0.98,1.51,,,,2,3,Bot,,,,,,,8.58300434,-133.4467395,-1.82181168,-19.49153287,30.02114241,-38.51086264,3.64,1.77,,,,93.2,1895,7.3,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.25,,,,,,,,26,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,244,0,0.011,,,,-0.011,,0,0,0.512,0.512,27,34,28,35,2,1,5,1,5,1,3.27,1.47,-1.47,26.6
FF,4/2/2024,97.2,-1.6,5.39,"Hoskins, Rhys",656555,686973,,called_strike,,,,,12,Rhys Hoskins hit by pitch.,R,R,R,MIL,MIN,S,,,0,0,2024,-0.58,1.29,0.84,2.67,,,,2,3,Bot,,,,,,,7.953580553,-141.2992949,-4.743579333,-9.620972194,33.27143197,-14.05287175,3.52,1.66,,,,98,2149,6.9,746009,543877,467793,666397,650489,621043,670242,621439,596146,53.6,,,,,,,,25,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,220,0,-0.016,,,,0.016,,2,2,0.746,0.746,26,31,27,31,2,1,,2,7,1,1.14,0.58,0.58,40.8
FC,4/2/2024,91,-2.02,5.48,"Donovan, Brendan",680977,506433,,ball,,,,,14,Brendan Donovan walks.,R,L,R,SD,STL,B,,,2,2,2024,-0.09,0.91,0.69,1.15,,,,1,6,Top,,,,,,,7.071789979,-132.2378475,-6.941480195,-2.62414488,28.24156582,-20.18010105,3.23,1.43,,,,91.7,2446,6.8,745439,669134,630105,593428,642180,673490,595777,701538,665487,53.7,,,,,,,,42,7,Cutter,2,1,1,2,1,2,1,2,Strategic,Standard,210,0,0.068,,,,-0.068,,1,-1,0.703,0.297,37,27,38,27,3,2,5,1,6,1,1.85,0.09,-0.09,38.9
FC,4/2/2024,83.5,1.66,5.74,"Barrosa, Jorge",678489,641482,,ball,,,,,12,"Jorge Barrosa grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",R,R,L,AZ,NYY,B,,,0,0,2024,-0.7,0.54,1.41,2.5,,,,0,4,Bot,,,,,,,0.796598935,-121.6931503,-2.167585879,-7.125748596,21.39386612,-26.54597832,3.13,1.38,,,,83.2,2340,5.8,747220,624431,519203,650402,665828,683011,657077,592450,665742,54.74,,,,,,,,31,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,190,0,0.034,,,,-0.034,,3,3,0.868,0.868,29,23,30,23,2,1,5,1,6,1,2.69,-0.7,0.7,43.4
FF,4/2/2024,90.4,-3.12,5.85,"Rizzo, Anthony",519203,668678,,foul,,,,,3,Anthony Rizzo lines out to left fielder Lourdes Gurriel Jr.,R,L,R,AZ,NYY,S,,,2,0,2024,-0.5,1.44,0.67,3.07,,,,0,4,Top,,,,,,,10.53051002,-131.2269422,-4.072062615,-7.862201117,26.13296586,-14.83962736,3.66,1.73,291,103.1,62,91,2343,6.7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.85,,,,,,,,28,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,209,0,-0.058,,,,0.058,103.1,3,-3,0.824,0.176,28,34,29,35,2,1,5,1,6,1,1.35,0.5,-0.5,38.2
SL,4/2/2024,87,-1.79,5.36,"Rooker, Brent",667670,678394,,swinging_strike,,,,,12,Brent Rooker doubles (1) on a line drive to right fielder Tyler O'Neill.,R,R,R,OAK,BOS,S,,,0,0,2024,0.75,0.22,0.86,2.71,,,,1,4,Bot,,,,,,,4.826967279,-126.8581582,-0.770335534,7.44176169,20.03664999,-29.85637346,3.64,1.72,,,,87.8,2200,6.2,745680,657136,666915,622569,646240,596115,680776,678882,641933,54.31,,,,,,,,35,1,Slider,4,3,4,3,3,4,4,3,Standard,Standard,25,0,-0.023,,,,0.023,,1,1,0.67,0.67,25,29,25,30,2,1,5,1,7,1,2.73,-0.75,-0.75,32.5
SL,4/2/2024,85.8,0.74,5.92,"Kiermaier, Kevin",595281,664285,strikeout,swinging_strike,,,,,7,Kevin Kiermaier strikes out swinging.,R,L,L,HOU,TOR,S,2,,2,2,2024,-0.3,-0.19,-0.36,1.67,,,643396,2,5,Top,,,,,,,-1.972883626,-124.8726954,-3.392200326,-2.724494143,26.10304614,-33.67515095,3.39,1.61,,,,85.5,2586,6.2,746411,605170,547989,514888,608324,665161,670541,676801,663656,54.3,,0,0,1,0,0,,31,5,Slider,1,0,0,1,0,1,0,1,Infield shade,Standard,283,0.033,-0.197,,,,0.197,,1,-1,0.68,0.32,30,34,31,34,2,1,5,1,26,1,3.3,-0.3,-0.3,37.6
FF,4/2/2024,93.6,2.22,6.32,"Duvall, Adam",594807,676979,,called_strike,,,,,6,Adam Duvall singles on a line drive to center fielder Luis Robert Jr.,R,R,L,CWS,ATL,S,,,0,0,2024,0.37,0.91,0.48,2.09,,,,1,5,Top,,,,,,,-5.397753109,-136.2317231,-7.325518684,5.766103717,26.83239952,-19.45316071,3.33,1.5,,,,95.1,2580,6.9,746814,455117,683734,670032,660162,669699,643217,673357,666150,53.6,,,,,,,,29,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,160,0,-0.023,,,,0.023,,0,0,0.53,0.47,25,35,25,36,2,1,5,2,5,3,1.67,0.37,-0.37,37.6
CH,4/2/2024,88.6,-2.11,4.88,"Brennan, Will",686823,622491,,foul,,,,,13,Will Brennan singles on a ground ball to right fielder Mitch Haniger.   JosÃ© RamÃ­rez scores.    Will Brennan to 2nd.  Fielding error by right fielder Mitch Haniger.,R,L,R,SEA,CLE,S,,,0,1,2024,-1.57,-0.15,-1.26,2.39,,,608070,2,4,Top,,,,,,,5.270405484,-128.9721312,0.26997304,-18.65369009,26.55475958,-34.12263868,3.4,1.55,120,68.4,14,87.6,1810,5.6,745273,663728,664034,593871,668942,641487,686527,677594,571745,54.86,,,,,,,,26,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,258,0,-0.046,,,,0.046,88,0,0,0.531,0.469,31,26,32,26,2,1,5,1,6,1,3.05,1.57,-1.57,12.2
